|3||"COAM2"|"Cornus amomum"|"silky dogwood"|"12574692"|"71167097"
|3||"CODR"|"Cornus drummondii"|"roughleaf dogwood"|"12574692"|"71167161"
|2||"CORA6"|"Cornus racemosa"|"gray dogwood"|"12574692"|"71167178"
|2||"COSES"|"Cornus sericea subsp. sericea"|"redosier dogwood"|"12574692"|"71167192"
|5||"CRVI2"|"Crataegus viridis"|"green hawthorn"|"12574692"|"71167271"
|2||"ILVE"|"Ilex verticillata"|"common winterberry"|"12574692"|"71167309"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"12574692"|"71167341"
|9||"POCA19"|"Populus ×canadensis [deltoides × nigra]"|"Carolina poplar"|"12574692"|"71167619"
|9||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"12574692"|"71167634"
|5||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"12574692"|"71167696"
|5||"THOC2"|"Thuja occidentalis"|"arborvitae"|"12574692"|"71167819"
|3||"VILE"|"Viburnum lentago"|"nannyberry"|"12574692"|"71167915"
|9||"ACRU"|"Acer rubrum"|"red maple"|"12574693"|"71167005"
|3||"AMAR3"|"Amelanchier arborea"|"common serviceberry"|"12574693"|"71167017"
|2||"ARME6"|"Aronia melanocarpa"|"black chokeberry"|"12574693"|"71167025"
|3||"ASTR"|"Asimina triloba"|"common pawpaw"|"12574693"|"71167029"
|5||"CAIL2"|"Carya illinoinensis"|"pecan"|"12574693"|"71167045"
|9||"CEOC"|"Celtis occidentalis"|"common hackberry"|"12574693"|"71167070"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"12574693"|"71167086"
|3||"CODR"|"Cornus drummondii"|"roughleaf dogwood"|"12574693"|"71167162"
|2||"COSES"|"Cornus sericea subsp. sericea"|"redosier dogwood"|"12574693"|"71167193"
|3||"CRCR2"|"Crataegus crus-galli"|"cockspur hawthorn"|"12574693"|"71167200"
|5||"CRVI2"|"Crataegus viridis"|"green hawthorn"|"12574693"|"71167272"
|5||"DIVI5"|"Diospyros virginiana"|"common persimmon"|"12574693"|"71167282"
|3||"HAMAM"|"Hamamelis"|"witchhazel"|"12574693"|"71167285"
|2||"ILVE"|"Ilex verticillata"|"common winterberry"|"12574693"|"71167310"
|2||"JUCO6"|"Juniperus communis"|"common juniper"|"12574693"|"71167320"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"12574693"|"71167342"
|2||"LIBE3"|"Lindera benzoin"|"northern spicebush"|"12574693"|"71167359"
|9||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"12574693"|"71167364"
|3||"MAIO"|"Malus ioensis"|"prairie crabapple"|"12574693"|"71167381"
|9||"NYSY"|"Nyssa sylvatica"|"blackgum"|"12574693"|"71167409"
|2||"PHOP"|"Physocarpus opulifolius"|"common ninebark"|"12574693"|"71167420"
|9||"PIAB"|"Picea abies"|"Norway spruce"|"12574693"|"71167441"
|5||"PINI"|"Pinus nigra"|"Austrian pine"|"12574693"|"71167486"
|5||"PIPU"|"Picea pungens"|"blue spruce"|"12574693"|"71167502"
|12||"POCA19"|"Populus ×canadensis [deltoides × nigra]"|"Carolina poplar"|"12574693"|"71167620"
|12||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"12574693"|"71167635"
|5||"PSME"|"Pseudotsuga menziesii"|"Douglas fir"|"12574693"|"71167674"
|9||"QUBI"|"Quercus bicolor"|"swamp white oak"|"12574693"|"71167686"
|5||"QUIM"|"Quercus imbricaria"|"Shingle oak"|"12574693"|"71167691"
|12||"QUPA2"|"Quercus palustris"|"pin oak"|"12574693"|"71167722"
|2||"SANIC4"|"Sambucus nigra subsp. canadensis"|"common elderberry"|"12574693"|"71167786"
|2||"TACA7"|"Taxus canadensis"|"Canada yew"|"12574693"|"71167803"
|5||"THOC2"|"Thuja occidentalis"|"arborvitae"|"12574693"|"71167820"
|3||"VIDE"|"Viburnum dentatum"|"southern arrowwood"|"12574693"|"71167898"
|5||"VILE"|"Viburnum lentago"|"nannyberry"|"12574693"|"71167916"
|2||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"12574693"|"71167926"
|3||"VIPR"|"Viburnum prunifolium"|"blackhaw"|"12574693"|"71167981"
|3||"VIRU"|"Viburnum rufidulum"|"rusty blackhaw"|"12574693"|"71167986"
|3||"ASTR"|"Asimina triloba"|"common pawpaw"|"12574694"|"71167030"
